date,electric vehicle,tesla,ev charging
2024-02-11,2,66,2
2024-02-18,2,66,2
2024-02-25,2,70,2
2024-03-03,2,75,2
2024-03-10,2,70,2
2024-03-17,2,73,2
2024-03-24,2,72,2
2024-03-31,2,78,2
2024-04-07,2,74,2
2024-04-14,2,82,2
2024-04-21,2,96,2
2024-04-28,2,83,2
2024-05-05,1,71,2
2024-05-12,2,73,2
2024-05-19,1,70,2
2024-05-26,1,71,2
2024-06-02,1,71,2
2024-06-09,1,79,2
2024-06-16,1,72,2
2024-06-23,1,68,2
2024-06-30,1,74,2
2024-07-07,1,77,2
2024-07-14,2,75,2
2024-07-21,2,82,2
2024-07-28,1,69,2
2024-08-04,1,71,2
2024-08-11,1,71,2
2024-08-18,2,68,2
2024-08-25,1,65,2
2024-09-01,2,66,2
2024-09-08,2,65,2
2024-09-15,1,64,2
2024-09-22,2,66,2
2024-09-29,1,67,2
2024-10-06,2,87,2
2024-10-13,1,90,2
2024-10-20,1,88,2
2024-10-27,1,77,2
2024-11-03,2,98,2
2024-11-10,2,100,2
2024-11-17,2,90,2
2024-11-24,2,84,2
2024-12-01,2,83,2
2024-12-08,1,91,2
2024-12-15,1,92,2
2024-12-22,1,86,2
2024-12-29,1,100,2
2025-01-05,1,88,2
2025-01-12,2,81,2
2025-01-19,2,87,2
2025-01-26,2,88,2
2025-02-02,2,85,2
2025-02-09,2,81,2
